Type,SKU,Nom,Description,Catégories,Attribut 1 name,Attribut 1 value(s),Attribut 1 visible,Attribut 1 global,Attribut 2 name,Attribut 2 value(s),Attribut 2 visible,Attribut 2 global,Parent,Prix régulier
variation,R-568023-1ct-18K,,,,Poids diamant,1 ct,,,Type d'or,18K,,,R-568023,2649
variation,R-568023-1.5ct-18K,,,,Poids diamant,1.5 ct,,,Type d'or,18K,,,R-568023,2981
variation,R-568023-2ct-18K,,,,Poids diamant,2 ct,,,Type d'or,18K,,,R-568023,3369
variation,R-568023-2.5ct-18K,,,,Poids diamant,2.5 ct,,,Type d'or,18K,,,R-568023,3699
variation,R-568023-3ct-18K,,,,Poids diamant,3 ct,,,Type d'or,18K,,,R-568023,4014
variation,R-568023-3.5ct-18K,,,,Poids diamant,3.5 ct,,,Type d'or,18K,,,R-568023,4549
variation,R-568023-4ct-18K,,,,Poids diamant,4 ct,,,Type d'or,18K,,,R-568023,4999
variable,R-577143,Classic Round Diamond Solitaire Ring,The quintessential engagement ring: a brilliant round solitaire in a timeless 4-prong setting.,Bagues,Poids diamant,"1 ct,1.5 ct,2 ct,2.5 ct,3 ct,3.5 ct,4 ct",1,1,Type d'or,"10K,14K,18K",1,1,,
variation,R-577143-1ct-10K,,,,Poids diamant,1 ct,,,Type d'or,10K,,,R-577143,1299
variation,R-577143-1.5ct-10K,,,,Poids diamant,1.5 ct,,,Type d'or,10K,,,R-577143,1631
variation,R-577143-2ct-10K,,,,Poids diamant,2 ct,,,Type d'or,10K,,,R-577143,2019
variation,R-577143-2.5ct-10K,,,,Poids diamant,2.5 ct,,,Type d'or,10K,,,R-577143,2349
variation,R-577143-3ct-10K,,,,Poids diamant,3 ct,,,Type d'or,10K,,,R-577143,2664
variation,R-577143-3.5ct-10K,,,,Poids diamant,3.5 ct,,,Type d'or,10K,,,R-577143,3199
variation,R-577143-4ct-10K,,,,Poids diamant,4 ct,,,Type d'or,10K,,,R-577143,3649
variation,R-577143-1ct-14K,,,,Poids diamant,1 ct,,,Type d'or,14K,,,R-577143,1714
variation,R-577143-1.5ct-14K,,,,Poids diamant,1.5 ct,,,Type d'or,14K,,,R-577143,2046
variation,R-577143-2ct-14K,,,,Poids diamant,2 ct,,,Type d'or,14K,,,R-577143,2434
variation,R-577143-2.5ct-14K,,,,Poids diamant,2.5 ct,,,Type d'or,14K,,,R-577143,2764
variation,R-577143-3ct-14K,,,,Poids diamant,3 ct,,,Type d'or,14K,,,R-577143,3079
variation,R-577143-3.5ct-14K,,,,Poids diamant,3.5 ct,,,Type d'or,14K,,,R-577143,3614
variation,R-577143-4ct-14K,,,,Poids diamant,4 ct,,,Type d'or,14K,,,R-577143,4064
variation,R-577143-1ct-18K,,,,Poids diamant,1 ct,,,Type d'or,18K,,,R-577143,2249
variation,R-577143-1.5ct-18K,,,,Poids diamant,1.5 ct,,,Type d'or,18K,,,R-577143,2581
variation,R-577143-2ct-18K,,,,Poids diamant,2 ct,,,Type d'or,18K,,,R-577143,2969
variation,R-577143-2.5ct-18K,,,,Poids diamant,2.5 ct,,,Type d'or,18K,,,R-577143,3299
variation,R-577143-3ct-18K,,,,Poids diamant,3 ct,,,Type d'or,18K,,,R-577143,3614
variation,R-577143-3.5ct-18K,,,,Poids diamant,3.5 ct,,,Type d'or,18K,,,R-577143,4149
variation,R-577143-4ct-18K,,,,Poids diamant,4 ct,,,Type d'or,18K,,,R-577143,4599
variable,R-583544,Round Diamond 3-Stone Ring with Tapered Baguettes,Traditional elegance featuring a round brilliant center flanked by channel set tapered baguettes.,Bagues,Poids diamant,"1 ct,1.5 ct,2 ct,2.5 ct,3 ct,3.5 ct,4 ct",1,1,Type d'or,"10K,14K,18K",1,1,,
variation,R-583544-1ct-10K,,,,Poids diamant,1 ct,,,Type d'or,10K,,,R-583544,1459
variation,R-583544-1.5ct-10K,,,,Poids diamant,1.5 ct,,,Type d'or,10K,,,R-583544,1791
variation,R-583544-2ct-10K,,,,Poids diamant,2 ct,,,Type d'or,10K,,,R-583544,2179
variation,R-583544-2.5ct-10K,,,,Poids diamant,2.5 ct,,,Type d'or,10K,,,R-583544,2509
variation,R-583544-3ct-10K,,,,Poids diamant,3 ct,,,Type d'or,10K,,,R-583544,2824
variation,R-583544-3.5ct-10K,,,,Poids diamant,3.5 ct,,,Type d'or,10K,,,R-583544,3359
variation,R-583544-4ct-10K,,,,Poids diamant,4 ct,,,Type d'or,10K,,,R-583544,3809
variation,R-583544-1ct-14K,,,,Poids diamant,1 ct,,,Type d'or,14K,,,R-583544,1874
variation,R-583544-1.5ct-14K,,,,Poids diamant,1.5 ct,,,Type d'or,14K,,,R-583544,2206
variation,R-583544-2ct-14K,,,,Poids diamant,2 ct,,,Type d'or,14K,,,R-583544,2594
variation,R-583544-2.5ct-14K,,,,Poids diamant,2.5 ct,,,Type d'or,14K,,,R-583544,2924
variation,R-583544-3ct-14K,,,,Poids diamant,3 ct,,,Type d'or,14K,,,R-583544,3239
variation,R-583544-3.5ct-14K,,,,Poids diamant,3.5 ct,,,Type d'or,14K,,,R-583544,3774
variation,R-583544-4ct-14K,,,,Poids diamant,4 ct,,,Type d'or,14K,,,R-583544,4224
variation,R-583544-1ct-18K,,,,Poids diamant,1 ct,,,Type d'or,18K,,,R-583544,2409
variation,R-583544-1.5ct-18K,,,,Poids diamant,1.5 ct,,,Type d'or,18K,,,R-583544,2741
variation,R-583544-2ct-18K,,,,Poids diamant,2 ct,,,Type d'or,18K,,,R-583544,3129
variation,R-583544-2.5ct-18K,,,,Poids diamant,2.5 ct,,,Type d'or,18K,,,R-583544,3459
variation,R-583544-3ct-18K,,,,Poids diamant,3 ct,,,Type d'or,18K,,,R-583544,3774
variation,R-583544-3.5ct-18K,,,,Poids diamant,3.5 ct,,,Type d'or,18K,,,R-583544,4309
variation,R-583544-4ct-18K,,,,Poids diamant,4 ct,,,Type d'or,18K,,,R-583544,4759
variable,R-589838,Oval Diamond Halo Engagement Ring,Radiant oval diamond surrounded by a halo and set in rich yellow gold.,Bagues,Poids diamant,"1 ct,1.5 ct,2 ct,2.5 ct,3 ct,3.5 ct,4 ct",1,1,Type d'or,"10K,14K,18K",1,1,,
variation,R-589838-1ct-10K,,,,Poids diamant,1 ct,,,Type d'or,10K,,,R-589838,1479
variation,R-589838-1.5ct-10K,,,,Poids diamant,1.5 ct,,,Type d'or,10K,,,R-589838,1811
variation,R-589838-2ct-10K,,,,Poids diamant,2 ct,,,Type d'or,10K,,,R-589838,2199
variation,R-589838-2.5ct-10K,,,,Poids diamant,2.5 ct,,,Type d'or,10K,,,R-589838,2529
variation,R-589838-3ct-10K,,,,Poids diamant,3 ct,,,Type d'or,10K,,,R-589838,2844
variation,R-589838-3.5ct-10K,,,,Poids diamant,3.5 ct,,,Type d'or,10K,,,R-589838,3379
variation,R-589838-4ct-10K,,,,Poids diamant,4 ct,,,Type d'or,10K,,,R-589838,3829
variation,R-589838-1ct-14K,,,,Poids diamant,1 ct,,,Type d'or,14K,,,R-589838,1894
variation,R-589838-1.5ct-14K,,,,Poids diamant,1.5 ct,,,Type d'or,14K,,,R-589838,2226
variation,R-589838-2ct-14K,,,,Poids diamant,2 ct,,,Type d'or,14K,,,R-589838,2614
variation,R-589838-2.5ct-14K,,,,Poids diamant,2.5 ct,,,Type d'or,14K,,,R-589838,2944
variation,R-589838-3ct-14K,,,,Poids diamant,3 ct,,,Type d'or,14K,,,R-589838,3259
variation,R-589838-3.5ct-14K,,,,Poids diamant,3.5 ct,,,Type d'or,14K,,,R-589838,3794
variation,R-589838-4ct-14K,,,,Poids diamant,4 ct,,,Type d'or,14K,,,R-589838,4244
variation,R-589838-1ct-18K,,,,Poids diamant,1 ct,,,Type d'or,18K,,,R-589838,2429
variation,R-589838-1.5ct-18K,,,,Poids diamant,1.5 ct,,,Type d'or,18K,,,R-589838,2761
variation,R-589838-2ct-18K,,,,Poids diamant,2 ct,,,Type d'or,18K,,,R-589838,3149
variation,R-589838-2.5ct-18K,,,,Poids diamant,2.5 ct,,,Type d'or,18K,,,R-589838,3479
